Sub-Category,Demand_Group,Total_Sales_Volume,Average_Order_Value,Sales_Volatility,YoY_Sales_Growth_Rate_Pct
Accessories,Growing Demand,164186.7,233.88418803418804,2579.9948090711305,39.548249776855904
Appliances,Growing Demand,104618.403,235.6270337837838,1821.6215390281989,54.564520207664394
Art,Growing Demand,26705.41,37.09084722222222,330.4883427284576,49.8254849075002
Binders,Growing Demand,200028.785,154.94096436870643,3848.223647875491,46.38628849019984
Bookcases,Growing Demand,113813.1987,512.6720662162162,2229.359866723265,14.267351637695949
Chairs,"High Volume, Stable Demand",322822.731,570.3581819787986,4407.23295981141,13.744514318839984
Copiers,"Low Volume, High Volatility",146248.094,2215.8802121212125,4969.718971524921,35.794694041646494
Envelopes,Growing Demand,16128.046,66.3705596707819,234.26571627197984,-24.1905155964192
Fasteners,Growing Demand,3001.96,14.160188679245284,49.09426438022533,-9.637800467940579
Furnishings,Growing Demand,89212.018,104.34154152046783,1360.0178672616057,5.064518998539627
Labels,Growing Demand,12347.726,36.31684117647059,223.47121839221344,37.671467346544155
Machines,"High Volume, Stable Demand",189238.631,1689.6306339285713,5389.830647157584,-22.112143752739147
Paper,Growing Demand,76828.304,66.0604505588994,1024.8249818349855,35.31790052210848
Phones,"Low Volume, High Volatility",327782.448,408.1973200498132,4052.718220520821,34.21200350460549
Storage,Growing Demand,219343.392,287.09868062827223,2822.0843101166624,15.864571385504181
Supplies,Growing Demand,46420.308,256.4657900552486,1959.2900119674755,12.007072574353044
Tables,"High Volume, Stable Demand",202810.628,671.5583708609272,3224.0825044607163,0.21630255202203558
